# time	avg1_10	std1_10	avg2_10	std2_10	corr_10	avg1m_10	std1m_10	avg2m_10	std2m_10	corrm_10
49.000000	3.929000	1.570974	3.856000	1.535990	0.316284	3.877000	1.542683	3.919000	1.568579	0.345110
50.000000	3.920000	1.558717	3.784000	1.534713	0.069494	3.842000	1.563021	3.919000	1.558345	0.368810
51.000000	3.891000	1.526145	3.818000	1.569355	0.090817	3.827000	1.561112	3.936000	1.540099	-0.116082
52.000000	3.870000	1.553416	3.821000	1.562997	-0.065619	3.807000	1.589261	3.946000	1.501694	0.017257
53.000000	3.865000	1.578219	3.792000	1.566760	0.068115	3.846000	1.618111	3.925000	1.499125	-0.090794
54.000000	3.898000	1.583539	3.814000	1.575247	0.293680	3.823000	1.629623	3.902000	1.516046	-0.111681
55.000000	3.876000	1.564169	3.804000	1.541293	0.226241	3.815000	1.589583	3.895000	1.521833	0.110291
56.000000	3.858000	1.595568	3.788000	1.515604	0.252257	3.823000	1.578503	3.893000	1.556133	0.189688
57.000000	3.827000	1.578946	3.796000	1.488752	0.004117	3.846000	1.564060	3.875000	1.566325	0.252839
58.000000	3.817000	1.587927	3.814000	1.509107	-0.020547	3.844000	1.582297	3.837000	1.551912	0.139460
59.000000	3.789000	1.562843	3.777000	1.527505	0.096998	3.846000	1.567254	3.842000	1.528737	-0.074111
60.000000	3.769000	1.554233	3.761000	1.534887	0.221988	3.882000	1.579264	3.804000	1.535443	-0.067507
61.000000	3.752000	1.557721	3.761000	1.525083	-0.129401	3.871000	1.571101	3.789000	1.559641	0.302239
62.000000	3.705000	1.551121	3.750000	1.540617	-0.226644	3.855000	1.556270	3.760000	1.569204	-0.141394
63.000000	3.706000	1.575298	3.718000	1.510787	0.200609	3.828000	1.541563	3.761000	1.584891	0.372470
64.000000	3.731000	1.597072	3.711000	1.522327	0.156323	3.797000	1.584232	3.791000	1.605403	-0.053311
65.000000	3.699000	1.583793	3.677000	1.545533	0.019301	3.816000	1.526481	3.809000	1.579405	-0.171839
66.000000	3.730000	1.543081	3.679000	1.591213	0.063691	3.823000	1.531558	3.831000	1.576210	0.209482
67.000000	3.729000	1.528908	3.649000	1.551064	0.069077	3.820000	1.545833	3.794000	1.583529	0.213037
68.000000	3.744000	1.507469	3.671000	1.564212	0.404380	3.819000	1.567877	3.781000	1.592181	0.174341
69.000000	3.732000	1.522556	3.694000	1.595106	0.311412	3.806000	1.556395	3.746000	1.576542	0.050328
70.000000	3.734000	1.550240	3.667000	1.589374	0.216997	3.783000	1.567773	3.733000	1.557469	0.138473
71.000000	3.791000	1.530790	3.667000	1.584964	0.003885	3.792000	1.577573	3.723000	1.551216	0.325709
72.000000	3.780000	1.554220	3.670000	1.588427	0.013045	3.788000	1.560467	3.692000	1.558569	0.397319
73.000000	3.781000	1.527429	3.678000	1.607581	-0.221516	3.798000	1.553446	3.662000	1.551050	-0.067829
74.000000	3.724000	1.519811	3.683000	1.586351	0.187666	3.773000	1.561240	3.684000	1.585605	0.529084
75.000000	3.747000	1.575751	3.648000	1.580537	-0.030065	3.739000	1.537816	3.687000	1.559176	0.009958
76.000000	3.780000	1.560641	3.677000	1.615138	0.016329	3.775000	1.523278	3.675000	1.552860	0.048760
77.000000	3.729000	1.575931	3.677000	1.607691	0.157542	3.798000	1.543760	3.655000	1.571615	0.369239
78.000000	3.730000	1.605335	3.629000	1.581569	0.033634	3.769000	1.555519	3.636000	1.580982	-0.011334
79.000000	3.687000	1.564299	3.626000	1.581810	0.392857	3.711000	1.552250	3.652000	1.572544	-0.312143
80.000000	3.708000	1.556514	3.616000	1.605785	-0.151995	3.699000	1.580632	3.645000	1.615232	0.533180
81.000000	3.727000	1.537684	3.622000	1.590948	-0.027179	3.658000	1.557253	3.653000	1.582590	0.184922
82.000000	3.682000	1.528684	3.590000	1.558172	-0.015085	3.650000	1.577815	3.621000	1.594791	0.100431
83.000000	3.653000	1.560318	3.599000	1.555056	-0.142572	3.668000	1.554920	3.574000	1.648188	-0.065866
84.000000	3.667000	1.532355	3.538000	1.523993	0.094898	3.672000	1.525259	3.552000	1.606019	-0.020899
