# time	avg1_100	std1_100	avg2_100	std2_100	avg_corr_100	avg1m_100	std1m_100	avg2m_100	std2m_100	avg_corrm_100
0.000000	0.000000	0.000000	0.000000	0.000000	0.511367	0.000000	0.000000	0.000000	0.000000	0.492966
1.000000	7.017000	2.560608	7.095000	2.536528	0.000000	6.944000	2.505766	7.071000	2.592288	0.000000
2.000000	12.806000	3.408279	12.909000	3.288270	0.000000	12.833000	3.300168	12.832000	3.383456	0.000000
3.000000	17.726000	3.827391	17.864000	3.919120	0.000000	17.603000	3.841014	17.882000	3.769625	0.000000
4.000000	21.801000	4.107968	22.040000	4.053690	0.000000	21.495000	4.140045	21.806000	4.058370	0.000000
5.000000	25.286000	4.249965	25.461000	4.286546	0.000000	25.093000	4.360315	25.263000	4.177299	0.000000
6.000000	28.154000	4.446154	28.235000	4.406560	0.000000	28.123000	4.480611	28.002000	4.360045	0.000000
7.000000	30.607000	4.521786	30.649000	4.601065	0.000000	30.348000	4.510753	30.399000	4.565501	0.000000
8.000000	32.503000	4.534754	32.694000	4.620213	0.000000	32.248000	4.621309	32.469000	4.627206	0.000000
9.000000	34.089000	4.629371	34.345000	4.851389	0.000000	33.988000	4.852407	34.064000	4.740454	0.000000
10.000000	35.534000	4.722589	35.700000	4.943885	0.000000	35.342000	4.819651	35.487000	4.858172	0.000000
11.000000	36.573000	4.774167	36.969000	4.846859	0.000000	36.419000	4.861424	36.518000	4.914028	0.000000
12.000000	37.637000	4.886229	37.962000	4.929357	0.000000	37.325000	4.928831	37.297000	4.910478	0.000000
13.000000	38.474000	4.827559	38.802000	4.943763	0.000000	38.126000	4.950770	37.992000	4.859006	0.000000
14.000000	39.154000	4.838004	39.434000	5.026494	0.000000	38.643000	4.918694	38.568000	5.012322	0.000000
15.000000	39.729000	4.829033	39.899000	4.995878	0.000000	39.224000	5.000382	39.026000	4.906661	0.000000
16.000000	40.231000	4.759584	40.237000	4.953870	0.000000	39.648000	4.943895	39.390000	5.098421	0.000000
17.000000	40.564000	4.850351	40.505000	4.945298	0.000000	39.939000	4.897068	39.737000	4.984960	0.000000
18.000000	40.776000	4.884857	40.698000	4.906811	0.000000	40.182000	4.883122	39.967000	4.962853	0.000000
19.000000	41.077000	4.856446	40.944000	4.934862	0.000000	40.416000	4.938516	40.248000	4.844429	0.000000
20.000000	41.126000	4.814782	41.201000	4.854544	0.000000	40.332000	4.941435	40.403000	5.032752	0.000000
21.000000	41.288000	4.868168	41.332000	4.862281	0.000000	40.288000	5.116156	40.419000	5.006540	0.000000
22.000000	41.327000	4.846449	41.367000	4.931968	0.000000	40.244000	5.273183	40.349000	4.932869	0.000000
23.000000	41.358000	4.730945	41.217000	4.874414	0.000000	40.240000	5.357835	40.304000	4.965036	0.000000
24.000000	41.500000	4.775563	41.302000	4.897019	0.000000	40.148000	5.358927	40.377000	5.024228	0.000000
25.000000	41.483000	4.854453	41.198000	5.012065	0.000000	40.112000	5.236168	40.260000	4.966125	0.000000
26.000000	41.349000	4.883359	41.316000	5.015789	0.000000	40.098000	5.220000	40.192000	5.028632	0.000000
27.000000	41.315000	5.077576	41.204000	5.009030	0.000000	40.193000	5.211118	40.181000	5.086869	0.000000
28.000000	41.230000	4.976254	41.096000	5.052998	0.000000	40.141000	5.162085	40.069000	5.005421	0.000000
29.000000	41.106000	4.965155	41.159000	4.990162	0.000000	40.197000	5.242727	40.015000	4.984052	0.000000
30.000000	41.030000	5.035981	41.163000	4.982814	0.000000	40.094000	5.279883	39.989000	4.919236	0.000000
31.000000	40.884000	5.050004	41.057000	5.113878	0.000000	39.929000	5.291688	39.810000	4.816212	0.000000
32.000000	40.747000	5.043312	40.940000	5.176910	0.000000	39.976000	5.325732	39.744000	4.793168	0.000000
33.000000	40.804000	4.962820	40.751000	5.203172	0.000000	39.838000	5.197476	39.740000	4.810031	0.000000
34.000000	40.764000	5.027952	40.638000	5.244326	0.000000	39.790000	5.104498	39.636000	4.957167	0.000000
35.000000	40.701000	5.043768	40.622000	5.217578	0.000000	39.700000	5.204805	39.578000	5.036657	0.000000
36.000000	40.421000	4.982545	40.460000	5.241412	0.000000	39.655000	5.169137	39.542000	4.914899	0.000000
37.000000	40.410000	5.037053	40.400000	5.215745	0.000000	39.382000	4.959846	39.356000	4.954923	0.000000
38.000000	40.316000	5.015391	40.377000	5.201430	0.000000	39.361000	4.877569	39.225000	4.953622	0.000000
39.000000	40.156000	5.108587	40.319000	4.994721	0.000000	39.242000	4.906673	39.222000	4.846103	0.000000
40.000000	40.188000	5.129001	40.242000	4.861012	0.000000	39.172000	4.942309	39.178000	4.896970	0.000000
