# time	avg1_50	std1_50	avg2_50	std2_50	avg_corr_50	avg1m_50	std1m_50	avg2m_50	std2m_50	avg_corrm_50
0.000000	0.000000	0.000000	0.000000	0.000000	0.035437	0.000000	0.000000	0.000000	0.000000	0.033784
1.000000	3.534000	1.794114	3.440000	1.807872	0.000000	3.387000	1.762167	3.368000	1.778363	0.000000
2.000000	6.522000	2.400316	6.391000	2.387073	0.000000	6.343000	2.292455	6.396000	2.459915	0.000000
3.000000	8.964000	2.728498	8.826000	2.733080	0.000000	8.771000	2.655665	8.776000	2.803181	0.000000
4.000000	11.003000	2.867925	10.840000	2.907301	0.000000	10.919000	2.949312	10.889000	3.009099	0.000000
5.000000	12.789000	3.065694	12.646000	3.099465	0.000000	12.646000	3.129965	12.630000	3.156121	0.000000
6.000000	14.069000	3.157569	14.152000	3.037251	0.000000	14.048000	3.144153	14.041000	3.230684	0.000000
7.000000	15.209000	3.234705	15.334000	3.196004	0.000000	15.177000	3.258477	15.252000	3.289756	0.000000
8.000000	16.346000	3.262864	16.389000	3.273787	0.000000	16.170000	3.321009	16.234000	3.370348	0.000000
9.000000	17.133000	3.324652	17.227000	3.347756	0.000000	16.898000	3.324695	16.965000	3.356453	0.000000
10.000000	17.918000	3.301405	17.899000	3.403351	0.000000	17.616000	3.323333	17.670000	3.460506	0.000000
11.000000	18.473000	3.338154	18.490000	3.351403	0.000000	18.144000	3.321937	18.254000	3.378977	0.000000
12.000000	18.871000	3.388563	19.018000	3.280195	0.000000	18.609000	3.333784	18.723000	3.450257	0.000000
13.000000	19.255000	3.363625	19.477000	3.213016	0.000000	19.132000	3.372028	19.000000	3.428994	0.000000
14.000000	19.581000	3.316842	19.792000	3.257719	0.000000	19.452000	3.482197	19.344000	3.419892	0.000000
15.000000	19.894000	3.377982	20.045000	3.346487	0.000000	19.661000	3.458335	19.507000	3.406457	0.000000
16.000000	20.041000	3.436760	20.242000	3.415470	0.000000	19.788000	3.539076	19.672000	3.441862	0.000000
17.000000	20.146000	3.410672	20.337000	3.416348	0.000000	19.924000	3.523950	19.954000	3.563409	0.000000
18.000000	20.341000	3.410677	20.535000	3.326376	0.000000	20.104000	3.514141	20.021000	3.520023	0.000000
19.000000	20.628000	3.407289	20.603000	3.322257	0.000000	20.082000	3.468036	20.134000	3.572120	0.000000
20.000000	20.665000	3.357197	20.714000	3.376715	0.000000	20.129000	3.461554	20.105000	3.571551	0.000000
21.000000	20.650000	3.373648	20.767000	3.442777	0.000000	20.198000	3.487520	20.227000	3.643003	0.000000
22.000000	20.693000	3.421513	20.682000	3.441639	0.000000	20.212000	3.459632	20.275000	3.702887	0.000000
23.000000	20.662000	3.406722	20.733000	3.453362	0.000000	20.199000	3.479281	20.284000	3.657232	0.000000
24.000000	20.672000	3.416784	20.723000	3.572712	0.000000	20.268000	3.571019	20.219000	3.569179	0.000000
25.000000	20.737000	3.387009	20.756000	3.562368	0.000000	20.244000	3.566015	20.026000	3.556308	0.000000
26.000000	20.730000	3.446317	20.824000	3.531434	0.000000	20.194000	3.524537	20.095000	3.581058	0.000000
27.000000	20.660000	3.479138	20.736000	3.463279	0.000000	20.176000	3.626710	20.032000	3.607905	0.000000
