# time	avg1_10	std1_10	avg2_10	std2_10	avg_corr_10	avg1m_10	std1m_10	avg2m_10	std2m_10	avg_corrm_10
0.000000	0.000000	0.000000	0.000000	0.000000	0.010435	0.000000	0.000000	0.000000	0.000000	0.009056
1.000000	0.729000	0.844724	0.685000	0.811033	0.000000	0.669000	0.798398	0.668000	0.774452	0.000000
2.000000	1.292000	1.057703	1.248000	1.043310	0.000000	1.247000	1.061127	1.263000	1.037223	0.000000
3.000000	1.777000	1.206346	1.740000	1.225724	0.000000	1.735000	1.201156	1.739000	1.201199	0.000000
4.000000	2.239000	1.298414	2.103000	1.308584	0.000000	2.175000	1.332807	2.127000	1.290299	0.000000
5.000000	2.560000	1.346997	2.442000	1.352271	0.000000	2.489000	1.404948	2.472000	1.323335	0.000000
6.000000	2.865000	1.405978	2.747000	1.401781	0.000000	2.806000	1.451332	2.773000	1.378938	0.000000
7.000000	3.095000	1.419146	3.024000	1.430183	0.000000	3.052000	1.469454	2.991000	1.398184	0.000000
8.000000	3.322000	1.440249	3.243000	1.448431	0.000000	3.202000	1.477564	3.186000	1.452379	0.000000
9.000000	3.490000	1.471700	3.424000	1.494732	0.000000	3.386000	1.467993	3.347000	1.461708	0.000000
10.000000	3.672000	1.489435	3.577000	1.503353	0.000000	3.486000	1.496597	3.498000	1.503993	0.000000
11.000000	3.755000	1.495652	3.708000	1.509548	0.000000	3.583000	1.512981	3.593000	1.499784	0.000000
12.000000	3.828000	1.539616	3.785000	1.533224	0.000000	3.735000	1.559094	3.652000	1.523449	0.000000
13.000000	3.863000	1.496072	3.870000	1.506353	0.000000	3.797000	1.534207	3.718000	1.562202	0.000000
14.000000	3.909000	1.526014	3.933000	1.523322	0.000000	3.872000	1.558081	3.726000	1.540430	0.000000
15.000000	3.959000	1.537959	3.993000	1.446012	0.000000	3.918000	1.565655	3.754000	1.554183	0.000000
16.000000	4.029000	1.554400	4.029000	1.461560	0.000000	3.950000	1.556759	3.796000	1.523281	0.000000
17.000000	4.053000	1.572956	4.019000	1.432703	0.000000	3.981000	1.533831	3.807000	1.525041	0.000000
18.000000	4.076000	1.581842	4.012000	1.450468	0.000000	4.011000	1.520158	3.862000	1.525436	0.000000
19.000000	4.086000	1.572452	4.018000	1.482456	0.000000	4.054000	1.528752	3.891000	1.524178	0.000000
20.000000	4.087000	1.546425	4.048000	1.488521	0.000000	4.039000	1.531496	3.918000	1.512374	0.000000
21.000000	4.076000	1.525852	4.102000	1.536098	0.000000	4.028000	1.566913	3.960000	1.557691	0.000000
22.000000	4.079000	1.559089	4.109000	1.553422	0.000000	4.010000	1.562018	3.953000	1.579491	0.000000
23.000000	4.107000	1.553561	4.141000	1.539844	0.000000	4.007000	1.602171	3.986000	1.570288	0.000000
24.000000	4.091000	1.529941	4.136000	1.555475	0.000000	4.041000	1.574585	3.971000	1.536932	0.000000
25.000000	4.113000	1.554423	4.109000	1.559846	0.000000	4.102000	1.588583	3.978000	1.545159	0.000000
26.000000	4.140000	1.546092	4.075000	1.537978	0.000000	4.038000	1.579416	3.963000	1.560010	0.000000
27.000000	4.153000	1.551641	4.043000	1.537254	0.000000	4.034000	1.579508	3.933000	1.539646	0.000000
28.000000	4.114000	1.573215	4.049000	1.527285	0.000000	3.995000	1.602178	3.944000	1.544300	0.000000
29.000000	4.078000	1.583009	4.084000	1.508955	0.000000	4.015000	1.578219	3.923000	1.547602	0.000000
30.000000	4.127000	1.583942	4.064000	1.534895	0.000000	4.008000	1.562029	3.941000	1.559333	0.000000
31.000000	4.100000	1.576705	4.053000	1.523874	0.000000	4.022000	1.550973	3.932000	1.565048	0.000000
32.000000	4.110000	1.573499	4.038000	1.548727	0.000000	4.011000	1.556560	3.938000	1.597547	0.000000
33.000000	4.083000	1.572295	4.055000	1.556912	0.000000	3.963000	1.589223	3.935000	1.570597	0.000000
34.000000	4.068000	1.592914	4.063000	1.559818	0.000000	3.956000	1.589360	3.959000	1.609136	0.000000
35.000000	4.094000	1.590335	4.069000	1.544098	0.000000	3.957000	1.622082	3.983000	1.615150	0.000000
36.000000	4.072000	1.566785	4.061000	1.570121	0.000000	3.957000	1.655642	4.026000	1.619668	0.000000
37.000000	4.067000	1.571150	4.040000	1.583161	0.000000	3.955000	1.607164	3.980000	1.599875	0.000000
38.000000	4.089000	1.555339	4.061000	1.590999	0.000000	3.954000	1.618606	3.950000	1.594208	0.000000
39.000000	4.035000	1.563897	4.007000	1.592153	0.000000	3.965000	1.645532	3.914000	1.548743	0.000000
40.000000	3.992000	1.553041	4.030000	1.615890	0.000000	3.935000	1.662761	3.952000	1.534176	0.000000
41.000000	4.022000	1.497169	3.989000	1.594013	0.000000	3.933000	1.633558	3.975000	1.583153	0.000000
