# time	avg1_100	std1_100	avg2_100	std2_100	avg_corr_100	avg1m_100	std1m_100	avg2m_100	std2m_100	avg_corrm_100
0.000000	0.000000	0.000000	0.000000	0.000000	0.050566	0.000000	0.000000	0.000000	0.000000	0.047004
1.000000	7.087000	2.489866	7.139000	2.622152	0.000000	7.136000	2.550589	7.039000	2.475375	0.000000
2.000000	12.945000	3.390571	13.046000	3.236029	0.000000	12.981000	3.262919	12.924000	3.318467	0.000000
3.000000	17.806000	3.850242	17.815000	3.835984	0.000000	17.922000	3.868322	17.837000	3.871231	0.000000
4.000000	21.965000	4.296717	21.939000	4.036493	0.000000	22.067000	4.053210	21.875000	4.221774	0.000000
5.000000	25.453000	4.324325	25.342000	4.317990	0.000000	25.394000	4.400314	25.317000	4.493163	0.000000
6.000000	28.431000	4.296189	28.314000	4.552297	0.000000	28.167000	4.368880	28.062000	4.463648	0.000000
7.000000	30.725000	4.469606	30.735000	4.598562	0.000000	30.519000	4.499960	30.549000	4.584932	0.000000
8.000000	32.686000	4.538657	32.623000	4.683468	0.000000	32.495000	4.597170	32.581000	4.604285	0.000000
9.000000	34.473000	4.534454	34.300000	4.765501	0.000000	34.112000	4.695046	34.208000	4.656258	0.000000
10.000000	35.841000	4.598447	35.758000	4.763343	0.000000	35.447000	4.722837	35.508000	4.704247	0.000000
11.000000	36.999000	4.741624	36.916000	4.773777	0.000000	36.641000	4.808546	36.541000	4.776852	0.000000
12.000000	37.860000	4.986823	37.838000	4.776165	0.000000	37.607000	4.849593	37.398000	4.925809	0.000000
13.000000	38.575000	5.012023	38.725000	4.847203	0.000000	38.386000	4.916605	38.178000	4.890431	0.000000
14.000000	39.074000	5.094951	39.416000	4.887632	0.000000	38.931000	4.967317	38.807000	4.922169	0.000000
15.000000	39.636000	4.983724	39.836000	4.768554	0.000000	39.400000	4.867032	39.211000	4.925087	0.000000
16.000000	40.000000	4.986582	40.292000	4.801326	0.000000	39.688000	4.914332	39.551000	5.078326	0.000000
17.000000	40.391000	4.923832	40.465000	4.840535	0.000000	39.963000	4.800170	39.760000	5.089637	0.000000
18.000000	40.747000	4.942974	40.614000	4.846339	0.000000	40.210000	4.873797	39.997000	5.114782	0.000000
19.000000	41.017000	4.895581	40.807000	4.785159	0.000000	40.472000	4.907262	40.159000	5.093301	0.000000
20.000000	41.173000	4.834984	40.957000	4.662526	0.000000	40.609000	4.980574	40.419000	5.046527	0.000000
21.000000	41.286000	4.948960	41.023000	4.640956	0.000000	40.634000	4.951570	40.557000	4.935256	0.000000
22.000000	41.296000	4.996437	41.189000	4.750924	0.000000	40.766000	5.077720	40.529000	4.916417	0.000000
23.000000	41.302000	4.901306	41.262000	4.819269	0.000000	40.767000	4.935860	40.471000	5.015891	0.000000
24.000000	41.433000	4.923161	41.236000	4.708323	0.000000	40.763000	4.897227	40.309000	5.033241	0.000000
25.000000	41.383000	4.991824	41.202000	4.810945	0.000000	40.660000	4.951404	40.318000	4.975427	0.000000
26.000000	41.193000	4.998575	41.199000	4.802020	0.000000	40.523000	4.903414	40.232000	4.917334	0.000000
27.000000	41.230000	4.961562	41.042000	4.811469	0.000000	40.460000	4.968742	40.230000	5.013093	0.000000
28.000000	41.162000	4.992570	41.028000	4.789699	0.000000	40.347000	4.905975	40.246000	4.990940	0.000000
29.000000	41.095000	5.125229	40.833000	4.781329	0.000000	40.151000	4.882028	40.161000	5.003307	0.000000
30.000000	41.068000	5.019300	40.845000	4.717094	0.000000	39.984000	4.877268	40.012000	4.896106	0.000000
31.000000	41.034000	5.001284	40.701000	4.849495	0.000000	39.905000	4.754784	39.975000	4.995035	0.000000
32.000000	40.901000	4.920488	40.639000	4.886172	0.000000	39.781000	4.721339	39.756000	4.966333	0.000000
33.000000	40.920000	4.834211	40.668000	4.908134	0.000000	39.697000	4.688624	39.659000	4.845484	0.000000
34.000000	40.838000	4.729456	40.634000	4.801046	0.000000	39.678000	4.756502	39.645000	4.921278	0.000000
35.000000	40.690000	4.863322	40.583000	4.913360	0.000000	39.627000	4.897946	39.646000	4.904150	0.000000
36.000000	40.471000	4.884174	40.529000	4.819871	0.000000	39.628000	4.828210	39.559000	4.978004	0.000000
