# time	avg1_30	std1_30	avg2_30	std2_30	corr_30	avg1m_30	std1m_30	avg2m_30	std2m_30	corrm_30
0.000000	0.000000	0.000000	0.000000	0.000000	0.410102	0.000000	0.000000	0.000000	0.000000	-0.119959
1.000000	2.022000	1.347411	2.042000	1.394359	0.222834	2.126000	1.381349	2.119000	1.424373	-0.058728
2.000000	3.802000	1.709619	3.804000	1.830187	0.280136	3.884000	1.840800	3.810000	1.828633	0.214372
3.000000	5.241000	1.926375	5.299000	2.161851	-0.139942	5.317000	2.044141	5.278000	2.132303	0.378454
4.000000	6.516000	2.131137	6.512000	2.314704	0.555998	6.529000	2.157118	6.592000	2.303375	0.158570
5.000000	7.570000	2.262985	7.562000	2.446253	0.204420	7.539000	2.333341	7.608000	2.444245	0.357063
6.000000	8.429000	2.356472	8.495000	2.562806	0.397213	8.370000	2.386441	8.404000	2.548879	0.071684
7.000000	9.149000	2.495756	9.168000	2.652881	0.179933	9.166000	2.498488	9.129000	2.552324	0.334972
8.000000	9.748000	2.583117	9.754000	2.641871	0.303799	9.750000	2.550196	9.684000	2.479545	0.385069
9.000000	10.252000	2.637517	10.276000	2.650250	0.221892	10.248000	2.530315	10.139000	2.522633	0.331661
10.000000	10.617000	2.636724	10.690000	2.636646	0.515552	10.654000	2.525526	10.519000	2.580628	0.383075
11.000000	10.946000	2.640660	10.975000	2.643175	0.305065	10.898000	2.612967	10.824000	2.677130	0.320441
12.000000	11.113000	2.672495	11.230000	2.611724	0.339038	11.168000	2.667916	10.993000	2.681222	0.286984
13.000000	11.317000	2.777141	11.371000	2.603720	0.133499	11.371000	2.726785	11.190000	2.812454	0.093208
14.000000	11.518000	2.832256	11.574000	2.619642	0.270518	11.517000	2.703278	11.381000	2.810665	0.247417
15.000000	11.626000	2.798593	11.726000	2.649325	0.186438	11.563000	2.757178	11.499000	2.769115	-0.143717
16.000000	11.708000	2.798345	11.768000	2.717016	0.271023	11.713000	2.836306	11.574000	2.745637	0.245970
17.000000	11.793000	2.828807	11.876000	2.677802	0.405561	11.769000	2.834015	11.674000	2.694759	0.042746
18.000000	11.869000	2.793893	11.834000	2.693779	0.087881	11.743000	2.763503	11.743000	2.703877	0.519852
19.000000	11.902000	2.849982	11.864000	2.651321	0.130936	11.774000	2.717522	11.754000	2.716152	0.365381
20.000000	11.905000	2.836895	11.921000	2.623501	0.350899	11.813000	2.772730	11.756000	2.717437	0.198108
21.000000	11.857000	2.801527	11.896000	2.629293	0.283318	11.784000	2.783046	11.821000	2.789796	0.360812
22.000000	11.898000	2.805636	11.870000	2.703905	0.102262	11.786000	2.749583	11.805000	2.768208	0.164267
23.000000	11.952000	2.815616	11.788000	2.750828	0.310455	11.782000	2.790067	11.862000	2.844812	0.445427
24.000000	11.839000	2.751196	11.756000	2.731385	0.570555	11.837000	2.826027	11.809000	2.908697	0.143995
25.000000	11.907000	2.807552	11.796000	2.738683	0.381468	11.748000	2.806510	11.783000	2.983607	0.204845
26.000000	11.936000	2.811744	11.852000	2.721414	0.243724	11.724000	2.807102	11.811000	2.916381	0.550828
27.000000	11.943000	2.826615	11.792000	2.706055	0.287114	11.708000	2.800846	11.721000	2.871090	0.272536
28.000000	11.853000	2.767922	11.690000	2.767291	0.308489	11.641000	2.819596	11.668000	2.791375	0.128734
29.000000	11.833000	2.772925	11.710000	2.847437	0.104647	11.590000	2.803551	11.669000	2.789882	0.383242
30.000000	11.699000	2.809697	11.642000	2.847426	0.156700	11.592000	2.793123	11.607000	2.769576	0.124679
31.000000	11.632000	2.805455	11.549000	2.863843	0.236932	11.573000	2.748212	11.554000	2.763166	0.613931
32.000000	11.565000	2.794955	11.471000	2.836751	0.162992	11.493000	2.790332	11.507000	2.743711	0.531144
33.000000	11.491000	2.819915	11.439000	2.907280	0.149085	11.482000	2.788849	11.507000	2.786746	0.473661
34.000000	11.468000	2.848329	11.407000	2.922559	0.138424	11.448000	2.774040	11.467000	2.763496	0.663380
35.000000	11.346000	2.923403	11.368000	2.911799	0.582723	11.309000	2.721308	11.420000	2.783810	0.272176
36.000000	11.291000	2.970912	11.300000	2.931894	0.327165	11.294000	2.746919	11.381000	2.786725	0.297993
37.000000	11.297000	2.911493	11.302000	2.970992	0.349915	11.293000	2.770406	11.316000	2.804665	0.248296
38.000000	11.290000	2.883383	11.259000	2.926417	0.079640	11.256000	2.736506	11.329000	2.821482	0.398319
39.000000	11.287000	2.932342	11.161000	2.872469	0.142222	11.136000	2.706197	11.225000	2.828847	0.011360
40.000000	11.175000	2.902822	11.146000	2.851435	0.564753	11.105000	2.709977	11.266000	2.873542	0.488162
41.000000	11.151000	2.815351	11.040000	2.845066	-0.020684	10.991000	2.717521	11.148000	2.859387	0.036752
42.000000	11.014000	2.756774	10.973000	2.822458	0.208505	11.004000	2.825241	11.094000	2.871439	0.535432
43.000000	10.977000	2.813267	10.962000	2.810437	0.089939	10.972000	2.851529	11.016000	2.785632	0.490260
44.000000	10.899000	2.848298	10.891000	2.775810	-0.044163	10.880000	2.804568	10.914000	2.840529	0.111543
